Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,103.199997,104.228996,100.720001,100.860001,88.332703,62793019
2020-05-07,101.279999,106.320000,100.400002,105.419998,92.326324,50540060
2020-05-11,107.639999,108.699997,102.139999,102.599998,89.856606,70014920
2020-05-12,103.360001,104.760002,101.419998,102.000000,89.331131,43251895
2020-05-13,100.000000,101.080002,98.010002,98.010002,85.836708,63054163
2020-05-14,95.480003,98.510002,91.860001,97.139999,85.074768,61997276
2020-05-15,97.860001,101.099998,96.129997,97.449997,85.346252,45747626
2020-05-18,99.230003,105.360001,99.059998,105.199997,92.133675,49098546
2020-05-19,107.580002,108.239998,102.609001,104.720001,91.713280,49855725
2020-05-20,103.879997,106.779999,101.400002,106.720001,93.464882,39082367
2020-05-21,104.400002,105.858002,103.180000,103.919998,91.012650,49566772
2020-05-22,102.300003,106.599998,100.599998,103.139999,90.329529,46027977
2020-05-26,107.620003,110.820000,106.591003,110.779999,97.020599,81042993
2020-05-27,112.739998,121.400002,111.098000,119.839996,104.955307,110243263
2020-05-28,121.519997,124.932999,118.400002,122.620003,107.390030,88919715
2020-05-29,119.440002,123.279999,114.919998,115.239998,100.926651,128278561
2020-06-01,117.500000,120.800003,116.800003,120.779999,105.778564,49810343
2020-06-02,121.519997,123.279999,119.239998,119.500000,104.657539,67513905
2020-06-03,122.059998,125.320000,120.300003,125.320000,109.754669,75304789
2020-06-04,124.739998,125.363998,120.599998,123.519997,108.178238,82742905
2020-06-05,126.400002,132.720001,124.540001,131.399994,115.079498,120165390
2020-06-08,130.500000,134.720001,129.031006,131.800003,115.429825,76619331
2020-06-09,131.740005,132.460007,124.559998,125.279999,109.719643,91790897
2020-06-10,126.279999,130.279999,123.360001,124.000000,108.598625,61592626
2020-06-11,119.199997,120.760002,114.000000,115.000000,100.716461,76691563
2020-06-12,112.500000,121.400002,112.000000,117.059998,102.520599,69936980
2020-06-15,112.199997,118.820000,113.019997,116.099998,101.679840,45669811
2020-06-16,121.459999,126.480003,119.160004,122.680000,107.442574,73561276
2020-06-17,122.900002,124.279999,118.360001,119.379997,104.552437,52763860
2020-06-18,118.860001,121.000000,117.050003,118.639999,103.904366,58057406
2020-06-19,120.120003,120.639999,116.559998,116.559998,102.082703,95260381
2020-06-22,115.839996,118.500000,114.580002,115.300003,100.979202,76213234
